Id,Date,Name,Active,JobTitle,Affiliation,Institution,GrossSalary_Year,GrossSalary_Month,GrossSalary_Month_Base,GrossSalary_Month_Supplement,GrossSalary_Month_Diets,BirthDate
3177,08/11/2021,Sergio Pérez Zafra,1,Alcalde Del Ayuntamiento De Arcos De La Sierra,PP,Ayuntamiento De Arcos De La Sierra,"0,00","0,00",,,,
3178,08/11/2021,Daniel Garcia Rebollo,1,Alcalde Del Ayuntamiento De Arguisuelas,PP,Ayuntamiento De Arguisuelas,"0,00","0,00",,,,
3179,08/11/2021,Ana Belen Izquierdo Estirado,1,Alcaldesa Del Ayuntamiento De Arrancacepas,PP,Ayuntamiento De Arrancacepas,"0,00","0,00",,,,
3180,08/11/2021,Adolfo Montoya Perez,1,Alcalde Del Ayuntamiento De Atalaya Del Cañavate,PP,Ayuntamiento De Atalaya Del Cañavate,"0,00","0,00",,,,
3181,08/11/2021,Jesus Monton Page,1,Alcalde Del Ayuntamiento De Bascuñana De San Pedro,PSOE,Ayuntamiento De Bascuñana De San Pedro,"0,00","0,00",,,,
3182,08/11/2021,Raquel Oliver Chico,1,Alcaldesa Del Ayuntamiento De Beamud,PP,Ayuntamiento De Beamud,"0,00","0,00",,,,
3183,08/11/2021,Jesus Lopez Castejon,1,Alcalde Del Ayuntamiento De Belinchón,PP,Ayuntamiento De Belinchón,"0,00","0,00",,,,
3184,08/11/2021,Lourdes Lopez Porras,1,Alcaldesa Del Ayuntamiento De Belmonte,PSOE,Ayuntamiento De Belmonte,"28.560,00","2.040,00",,,,
3185,08/11/2021,Jose Abril Palomares,1,Alcalde Del Ayuntamiento De Boniches,PSOE,Ayuntamiento De Boniches,"0,00","0,00",,,,
3186,08/11/2021,Miguel Angel Carrascosa Martin,1,Alcalde Del Ayuntamiento De Buenache De Alarcón,PSOE,Ayuntamiento De Buenache De Alarcón,"1102,30","78,74",,,,
3187,08/11/2021,Vicente Caja Real,1,Alcalde Del Ayuntamiento De Buenache De La Sierra,PP,Ayuntamiento De Buenache De La Sierra,"50,00","3,57",,,,
3188,08/11/2021,Gregorio Martinez Escribano,1,Alcalde Del Ayuntamiento De Buendía,PSOE,Ayuntamiento De Buendía,"0,00","0,00",,,,
3189,08/11/2021,Francisco Lopez Lopez,1,Alcalde Del Ayuntamiento De Campillo De Altobuey,PSOE,Ayuntamiento De Campillo De Altobuey,"0,00","0,00",,,,
3190,08/11/2021,Roberto Cuevas Valenciano,1,Alcalde Del Ayuntamiento De Campos Del Paraíso,PSOE,Ayuntamiento De Campos Del Paraíso,"300,00","21,43",,,,
3191,08/11/2021,Joaquin Casamayor Chicano,1,Alcalde Del Ayuntamiento De Cañada Juncosa,PP,Ayuntamiento De Cañada Juncosa,"0,00","0,00",,,,
3192,08/11/2021,Arturo Guijarro Vindel,1,Alcalde Del Ayuntamiento De Cañamares,PP,Ayuntamiento De Cañamares,"0,00","0,00",,,,
3193,08/11/2021,Rosa-Maria Moya Aragon,1,Alcaldesa Del Ayuntamiento De Cañavate El,PP,Ayuntamiento De Cañavate El,"0,00","0,00",,,,
3194,08/11/2021,Francisco Miralles Jiménez,1,Alcalde Del Ayuntamiento De Villacarrillo,PP,Ayuntamiento De Villacarrillo,"42.660,80","3.047,20",,,,
3195,08/11/2021,Blas Alvés Moriano,1,Alcalde Del Ayuntamiento De Villanueva De La Reina,PSOE-A,Ayuntamiento De Villanueva De La Reina,"38.855,04","2.775,36",,,,
3196,08/11/2021,Gabriel Fajardo Patón,1,Alcalde Del Ayuntamiento De Villanueva Del Arzobispo,PSOE-A,Ayuntamiento De Villanueva Del Arzobispo,"36.754,10","2.625,29",,,,
3197,08/11/2021,Francisco Lopez Gay,1,Alcalde Del Ayuntamiento De Villardompardo,PP,Ayuntamiento De Villardompardo,"32.476,08","2.319,72",,,,
3198,08/11/2021,Juan Jose Cabrera Higueras,1,Alcalde Del Ayuntamiento De Villares Los,PP,Ayuntamiento De Villares Los,"34.203,61","2.443,12",,,,
3199,08/11/2021,Ana Morillo Anguita,0,Alcaldesa,PSOE-A,Ayuntamiento De Los Villares,"27.444,75",,,,,
3200,08/11/2021,María Virtudes Ojeda García,1,Alcaldesa Del Ayuntamiento De Villarrodrigo,PSOE-A,Ayuntamiento De Villarrodrigo,"18.810,00","1.343,57",,,,
3201,08/11/2021,Miguel Manuel Garcia Moreno,1,Alcalde Del Ayuntamiento De Villatorres,ADELANTE,Ayuntamiento De Villatorres,"36.400,00","2.600,00",,,,
3202,08/11/2021,Isidoro Diez Valdeon,1,Alcalde Del Ayuntamiento De Acebedo,Cs,Ayuntamiento De Acebedo,"7502,08","535,86",,,,
3203,08/11/2021,Abilio Panero Fernandez,1,Alcalde Del Ayuntamiento De Alija Del Infantado,PP,Ayuntamiento De Alija Del Infantado,"0,00","0,00",,,,
3204,08/11/2021,Javier Santiago Vélez,1,Senador,Partido Popular,Senado,"81.060,28","5.765,02","3.050,66","756,34","1.958,02",
3205,08/11/2021,Carlos Maria Zotes Fierro,1,Alcalde Del Ayuntamiento De Antigua La,PP,Ayuntamiento De Antigua La,"1950,71","139,34",,,,
3206,08/11/2021,Jesus Alonso Castillo,1,Alcalde Del Ayuntamiento De Ardón,PP,Ayuntamiento De Ardón,"1879,75","134,27",,,,
3207,08/11/2021,Juan Jose Alonso Perandones,1,Alcalde Del Ayuntamiento De Astorga,PSOE,Ayuntamiento De Astorga,"6556,00","468,29",,,,
3208,08/11/2021,Juan Jose Lopez Peña,1,Alcalde Del Ayuntamiento De Balboa,PP,Ayuntamiento De Balboa,"18.988,84","1.356,35",,,,
3209,08/11/2021,Javier Carrera De Blas,1,Alcalde Del Ayuntamiento De Bañeza La,PP,Ayuntamiento De Bañeza La,"36.346,78","2.596,20",,,,
3210,08/11/2021,Jesus Dario Suarez Gonzalez,1,Alcalde Del Ayuntamiento De Barrios De Luna Los,PP,Ayuntamiento De Barrios De Luna Los,"1160,16","82,87",,,,
3211,08/11/2021,Silvia Maria Cao Fornis,1,Alcaldesa Del Ayuntamiento De Bembibre,PSOE,Ayuntamiento De Bembibre,"28.551,32","2.039,38",,,,
3212,08/11/2021,Agapito Encina Lopez,1,Alcalde Del Ayuntamiento De Benuza,PSOE,Ayuntamiento De Benuza,"7040,00","502,86",,,,
3213,08/11/2021,Maria Milagros Beneitez Barragan,1,Alcaldesa Del Ayuntamiento De Bercianos Del Páramo,PP,Ayuntamiento De Bercianos Del Páramo,"11.900,00","850,00",,,,
3214,08/11/2021,Victor Fidel Rueda Garcia,1,Alcalde Del Ayuntamiento De Bercianos Del Real Camino,PP,Ayuntamiento De Bercianos Del Real Camino,"360,00","25,71",,,,
3215,08/11/2021,Cesar Alvarez Rodriguez,1,Alcalde Del Ayuntamiento De Berlanga Del Bierzo,PSOE,Ayuntamiento De Berlanga Del Bierzo,"1440,00","102,86",,,,
3216,08/11/2021,Tomas De La Sierra Gonzalez,1,Alcalde Del Ayuntamiento De Boca De Huérgano,U.P.L.,Ayuntamiento De Boca De Huérgano,"500,00","35,71",,,,
3217,08/11/2021,Pepe Villa Saez,1,Alcalde Del Ayuntamiento De Boñar,PSOE,Ayuntamiento De Boñar,"1500,00","107,14",,,,
3218,08/11/2021,Eduardo Prada Blanco,1,Alcalde Del Ayuntamiento De Borrenes,PP,Ayuntamiento De Borrenes,"6600,00","471,43",,,,
3219,08/11/2021,Gerasimo Vallejo Herreros,1,Alcalde Del Ayuntamiento De Burgo Ranero El,PSOE,Ayuntamiento De Burgo Ranero El,"3836,86","274,06",,,,
3220,08/11/2021,Porfirio Diez Casado,1,Alcalde Del Ayuntamiento De Burón,PP,Ayuntamiento De Burón,"3360,00","240,00",,,,
3221,08/11/2021,Faustino Sutil Honrado,1,Alcalde Del Ayuntamiento De Bustillo Del Páramo,PP,Ayuntamiento De Bustillo Del Páramo,"25.725,00","1.837,50",,,,
3222,08/11/2021,Juan Marcos Lopez Gutierrez,1,Alcalde Del Ayuntamiento De Cabañas Raras,PP,Ayuntamiento De Cabañas Raras,"5128,25","366,30",,,,
3223,08/11/2021,Matias Llorente Liebana,1,Alcalde Del Ayuntamiento De Cabreros Del Río,U.P.L.,Ayuntamiento De Cabreros Del Río,"200,00","14,29",,,,
3224,08/11/2021,Lina Freire Suarez,1,Alcaldesa Del Ayuntamiento De Cabrillanes,U.P.L.,Ayuntamiento De Cabrillanes,"1120,00","80,00",,,,
3225,08/11/2021,Junior Rodriguez Rodriguez,1,Alcalde Del Ayuntamiento De Cacabelos,PSOE,Ayuntamiento De Cacabelos,"22.224,03","1.587,43",,,,
3226,08/11/2021,Pablo Carbajal Carbajal,1,Alcalde Del Ayuntamiento De Calzada Del Coto,PP,Ayuntamiento De Calzada Del Coto,"350,00","25,00",,,,
3227,08/11/2021,Angel Carlos Palanca Melon,1,Alcalde Del Ayuntamiento De Campo De Villavidel,PP,Ayuntamiento De Campo De Villavidel,"2100,00","150,00",,,,
3228,08/11/2021,Eduardo Moran Pacios,1,Alcalde Del Ayuntamiento De Camponaraya,PSOE,Ayuntamiento De Camponaraya,"16.078,00","1.148,43",,,,
3229,08/11/2021,Gonzalo González Martinez,1,Alcalde Del Ayuntamiento De Cármenes,PSOE,Ayuntamiento De Cármenes,"0,00","0,00",,,,
3230,08/11/2021,Raul Valcarce Diez,1,Alcalde Del Ayuntamiento De Carracedelo,PP,Ayuntamiento De Carracedelo,"35.700,00","2.550,00",,,,
3231,08/11/2021,Alfonso Alvarez Garcia,1,Alcalde Del Ayuntamiento De Carrizo,PSOE,Ayuntamiento De Carrizo,"450,00","32,14",,,,
3232,08/11/2021,Luciano Yanutolo Suarez,1,Alcalde Del Ayuntamiento De Carrocera,PSOE,Ayuntamiento De Carrocera,"400,00","28,57",,,,
3233,08/11/2021,Alfonso Fernandez Pacios,1,Alcalde Del Ayuntamiento De Carucedo,PSOE,Ayuntamiento De Carucedo,"6492,00","463,71",,,,
3234,08/11/2021,Maria Purificacion Del Valle Pellitero,1,Alcaldesa Del Ayuntamiento De Castilfalé,PP,Ayuntamiento De Castilfalé,"1300,00","92,86",,,,
3235,08/11/2021,Tomas Blanco Voces,1,Alcalde Del Ayuntamiento De Castrillo De Cabrera,PSOE,Ayuntamiento De Castrillo De Cabrera,"800,00","57,14",,,,
3236,08/11/2021,Francisco Jesus Lopez Iglesias,1,Alcalde Del Ayuntamiento De Castrillo De La Valduerna,PSOE,Ayuntamiento De Castrillo De La Valduerna,"0,00","0,00",,,,
3237,08/11/2021,Luis Antonio Cenador Perez,1,Alcalde Del Ayuntamiento De Castrocalbón,PSOE,Ayuntamiento De Castrocalbón,"6060,00","432,86",,,,
3238,08/11/2021,Josefa Alvarez Fernandez,1,Alcaldesa Del Ayuntamiento De Castropodame,PSOE,Ayuntamiento De Castropodame,"22.297,10","1.592,65",,,,
3239,08/11/2021,Agustin Alaguero Vazquez,1,Alcalde Del Ayuntamiento De Castrotierra De Valmadrigal,PSOE,Ayuntamiento De Castrotierra De Valmadrigal,"540,00","38,57",,,,
3240,08/11/2021,Guillermo Antolin Diez,1,Alcalde Del Ayuntamiento De Cea,PP,Ayuntamiento De Cea,"120,00","8,57",,,,
3241,08/11/2021,Amado Fernandez Cela,1,Alcalde Del Ayuntamiento De Cebrones Del Río,PP,Ayuntamiento De Cebrones Del Río,"200,00","14,29",,,,
3242,08/11/2021,Maria Montserrat Rodriguez Becares,1,Alcaldesa Del Ayuntamiento De Cimanes De La Vega,PP,Ayuntamiento De Cimanes De La Vega,"4855,88","346,85",,,,
3243,08/11/2021,Luis Alberto Arias Gonzalez,1,Alcalde Del Ayuntamiento De Corullón,PSOE,Ayuntamiento De Corullón,"0,00","0,00",,,,
3244,08/11/2021,Angel Miguel Alonso Tornero,1,Alcalde Del Ayuntamiento De Crémenes,U.P.L.,Ayuntamiento De Crémenes,"430,00","30,71",,,,
3245,08/11/2021,Martin Marcos Martinez Barazon,1,Alcalde Del Ayuntamiento De Cuadros,AIC,Ayuntamiento De Cuadros,"32.555,46","2.325,39",,,,
3246,08/11/2021,Jose Nava Caballero,1,Alcalde Del Ayuntamiento De Cubillas De Los Oteros,U.P.L.,Ayuntamiento De Cubillas De Los Oteros,"2380,00","170,00",,,,
3247,08/11/2021,Antonio Cuellas Garcia,1,Alcalde Del Ayuntamiento De Cubillos Del Sil,PSOE,Ayuntamiento De Cubillos Del Sil,"19.401,90","1.385,85",,,,
3248,08/11/2021,Abelardo Felgueroso Santamarina,1,Alcalde Del Ayuntamiento De Destriana,PP,Ayuntamiento De Destriana,"1820,00","130,00",,,,
3249,08/11/2021,Jose Manuel Moro Carrera,1,Alcalde Del Ayuntamiento De Encinedo,PP,Ayuntamiento De Encinedo,"640,00","45,71",,,,
3250,08/11/2021,Ignacio Robles Garcia,1,Alcalde Del Ayuntamiento De Ercina La,PSOE,Ayuntamiento De Ercina La,"948,00","67,71",,,,
3251,08/11/2021,Maria Paz Martinez Ramon,1,Alcaldesa Del Ayuntamiento De Fabero,PSOE,Ayuntamiento De Fabero,"44.579,20","3.184,23",,,,
3252,08/11/2021,Jose Antonio Garcia Rodriguez,1,Alcalde Del Ayuntamiento De Folgoso De La Ribera,PP,Ayuntamiento De Folgoso De La Ribera,"800,00","57,14",,,,
3253,08/11/2021,Antonio Lozano Andres,1,Alcalde Del Ayuntamiento De Fresno De La Vega,PSOE,Ayuntamiento De Fresno De La Vega,"6000,00","428,57",,,,
3254,08/11/2021,Miguel Flecha Garcia,1,Alcalde Del Ayuntamiento De Garrafe De Torío,I.U.,Ayuntamiento De Garrafe De Torío,"3200,00","228,57",,,,
3255,08/11/2021,Jesus Alvarez Garcia,0,Alcalde Del Ayuntamiento De Garrafe De Torío,PSOE,Ayuntamiento De Garrafe De Torío,"2700,00",,,,,
3256,08/11/2021,Jaime Villa Bajo,1,Alcalde Del Ayuntamiento De Gordaliza Del Pino,PSOE,Ayuntamiento De Gordaliza Del Pino,"450,00","32,14",,,,
3257,08/11/2021,Urbano Seco Vallinas,1,Alcalde Del Ayuntamiento De Gordoncillo,PSOE,Ayuntamiento De Gordoncillo,"350,00","25,00",,,,
3258,08/11/2021,Amador Aller Coque,1,Alcalde Del Ayuntamiento De Gradefes,PP,Ayuntamiento De Gradefes,"2080,00","148,57",,,,
3259,08/11/2021,Juan Carlos Melon Melon,1,Alcalde Del Ayuntamiento De Gusendos De Los Oteros,PP,Ayuntamiento De Gusendos De Los Oteros,"350,00","25,00",,,,
3260,08/11/2021,Antonio Alider Presa Iglesias,1,Alcalde Del Ayuntamiento De Igüeña,PSOE,Ayuntamiento De Igüeña,"4319,65","308,55",,,,
3261,08/11/2021,Enrique Santervas Paniagua,1,Alcalde Del Ayuntamiento De Izagre,PSOE,Ayuntamiento De Izagre,"1450,00","103,57",,,,
3262,08/11/2021,Jairo Crespo Montalvo,1,Alcalde Del Ayuntamiento De Joarilla De Las Matas,PP,Ayuntamiento De Joarilla De Las Matas,"420,00","30,00",,,,
3263,08/11/2021,Eloy Bailez Lobato,1,Alcalde Del Ayuntamiento De Laguna Dalga,PP,Ayuntamiento De Laguna Dalga,"4845,00","346,07",,,,
3264,08/11/2021,Isidro Garcia Del Ganso,1,Alcalde Del Ayuntamiento De Laguna De Negrillos,PSOE,Ayuntamiento De Laguna De Negrillos,"800,00","57,14",,,,
3265,08/11/2021,Jose Antonio Diez Diaz,1,Alcalde Del Ayuntamiento De León,PSOE,Ayuntamiento De León,"60.356,66","4.311,19",,,,
3266,08/11/2021,Benito Sevilla Diez,1,Alcalde Del Ayuntamiento De Llamas De La Ribera,PP,Ayuntamiento De Llamas De La Ribera,"16.246,44","1.160,46",,,,
3267,08/11/2021,Pedro De Cabo Martinez,1,Alcalde Del Ayuntamiento De Lucillo,PP,Ayuntamiento De Lucillo,"0,00","0,00",,,,
3268,08/11/2021,Maria De La O Maroto Gutierrez,1,Alcaldesa Del Ayuntamiento De Magaz De Cepeda,U.P.L.,Ayuntamiento De Magaz De Cepeda,"3532,28","252,31",,,,
3269,08/11/2021,Jose Alberto Martinez Llorente,1,Alcalde Del Ayuntamiento De Mansilla Mayor,PSOE,Ayuntamiento De Mansilla Mayor,"3150,00","225,00",,,,
3270,08/11/2021,Omar Rodriguez Bulnes,1,Alcalde Del Ayuntamiento De Maraña,PSOE,Ayuntamiento De Maraña,"0,00","0,00",,,,
3271,08/11/2021,Miguel Angel Lozano Gonzalez,1,Alcalde Del Ayuntamiento De Matadeón De Los Oteros,U.P.L.,Ayuntamiento De Matadeón De Los Oteros,"600,00","42,86",,,,
3272,08/11/2021,Jose Garcia Alvarez,1,Alcalde Del Ayuntamiento De Matallana De Torío,PSOE,Ayuntamiento De Matallana De Torío,"0,00","0,00",,,,
3273,08/11/2021,Alfonso Arias Balboa,1,Alcalde Del Ayuntamiento De Molinaseca,PP,Ayuntamiento De Molinaseca,"26.718,00","1.908,43",,,,
3274,08/11/2021,Maria Del Carmen Mallo Alvarez,1,Alcaldesa Del Ayuntamiento De Murias De Paredes,PSOE,Ayuntamiento De Murias De Paredes,"200,00","14,29",,,,
3275,08/11/2021,Manuel Gomez Arias,1,Alcalde Del Ayuntamiento De Noceda Del Bierzo,PP,Ayuntamiento De Noceda Del Bierzo,"4327,20","309,09",,,,
3276,08/11/2021,Diego Lorenzana Rodriguez,1,Alcalde Del Ayuntamiento De Onzonilla,PP,Ayuntamiento De Onzonilla,"6560,00","468,57",,,,
3277,08/11/2021,Antonio Jaime Mendoza Toribio,1,Alcalde Del Ayuntamiento De Oseja De Sajambre,PP,Ayuntamiento De Oseja De Sajambre,"8002,91","571,64",,,,
3278,08/11/2021,Julio Cesar Fernandez Santos,1,Alcalde Del Ayuntamiento De Pajares De Los Oteros,AEPS,Ayuntamiento De Pajares De Los Oteros,"0,00","0,00",,,,
3279,08/11/2021,Maximina Dominguez Guerra,1,Alcaldesa Del Ayuntamiento De Palacios De La Valduerna,PP,Ayuntamiento De Palacios De La Valduerna,"590,00","42,14",,,,
3280,08/11/2021,Roberto Fernandez Garcia,1,Alcalde Del Ayuntamiento De Palacios Del Sil,PP,Ayuntamiento De Palacios Del Sil,"2310,00","165,00",,,,
3281,08/11/2021,Angel Calvo Fernandez,1,Alcalde Del Ayuntamiento De Páramo Del Sil,PP,Ayuntamiento De Páramo Del Sil,"37.273,46","2.662,39",,,,
3282,08/11/2021,Olegario Ramon Fernandez,1,Alcalde Del Ayuntamiento De Ponferrada,PSOE,Ayuntamiento De Ponferrada,"58.649,92","4.189,28",,,,
3283,08/11/2021,Tomas Alonso Casares,1,Alcalde Del Ayuntamiento De Posada De Valdeón,PP,Ayuntamiento De Posada De Valdeón,"0,00","0,00",,,,
3284,08/11/2021,Emilio Garcia Molero,1,Alcalde Del Ayuntamiento De Pozuelo Del Páramo,PP,Ayuntamiento De Pozuelo Del Páramo,"1859,32","132,81",,,,
3285,08/11/2021,Casiano Alejandro Alvarez Garcia,1,Alcalde Del Ayuntamiento De Prado De La Guzpeña,PP,Ayuntamiento De Prado De La Guzpeña,"90,00","6,43",,,,
3286,08/11/2021,Francisco Escanciano Escanciano,1,Alcalde Del Ayuntamiento De Prioro,PP,Ayuntamiento De Prioro,"210,00","15,00",,,,
3287,08/11/2021,Pedro Vicente Sanchez Garcia,1,Alcalde Del Ayuntamiento De Puebla De Lillo,AIPL,Ayuntamiento De Puebla De Lillo,"23.815,40","1.701,10",,,,
3288,08/11/2021,Julio Arias Escuredo,1,Alcalde Del Ayuntamiento De Puente De Domingo Flórez,PP,Ayuntamiento De Puente De Domingo Flórez,"18.942,82","1.353,06",,,,
3289,08/11/2021,Jose Luis Cubero Rubio,1,Alcalde Del Ayuntamiento De Quintana Del Marco,PP,Ayuntamiento De Quintana Del Marco,"1250,00","89,29",,,,
3290,08/11/2021,Lorenzo Lobato Perez,1,Alcalde Del Ayuntamiento De Regueras De Arriba,PP,Ayuntamiento De Regueras De Arriba,"550,00","39,29",,,,
3291,08/11/2021,Gregorio Alonso Gonzalez,1,Alcalde Del Ayuntamiento De Reyero,PSOE,Ayuntamiento De Reyero,"150,00","10,71",,,,
3292,08/11/2021,Fernando Moreno Cob,1,Alcalde Del Ayuntamiento De Riaño,Cs,Ayuntamiento De Riaño,"1820,00","130,00",,,,
3293,08/11/2021,David Fuertes Martinez,1,Alcalde Del Ayuntamiento De Riego De La Vega,U.P.L.,Ayuntamiento De Riego De La Vega,"2100,00","150,00",,,,
3294,08/11/2021,Manuel Rodriguez Diez,1,Alcalde Del Ayuntamiento De Riello,PP,Ayuntamiento De Riello,"0,00","0,00",,,,
3295,08/11/2021,Maria Trinidad Garcia Arias,1,Alcaldesa Del Ayuntamiento De Rioseco De Tapia,PP,Ayuntamiento De Rioseco De Tapia,"600,00","42,86",,,,
3296,08/11/2021,Cristina De La Fuente Prieto,1,Alcaldesa Del Ayuntamiento De Roperuelos Del Páramo,PP,Ayuntamiento De Roperuelos Del Páramo,"2457,00","175,50",,,,
3297,08/11/2021,Francisco Javier Garcia Alvarez,1,Alcalde Del Ayuntamiento De Sabero,PP,Ayuntamiento De Sabero,"2360,00","168,57",,,,
3298,08/11/2021,Paula Conde Huerta,1,Alcaldesa Del Ayuntamiento De Sahagún,PP,Ayuntamiento De Sahagún,"6604,16","471,73",,,,
3299,08/11/2021,Jose Rodriguez Blanco,1,Alcalde Del Ayuntamiento De San Adrián Del Valle,PP,Ayuntamiento De San Adrián Del Valle,"0,00","0,00",,,,
3300,08/11/2021,Francisco Manuel Ramos Villares,1,Alcalde Del Ayuntamiento De San Cristóbal De La Polantera,PP,Ayuntamiento De San Cristóbal De La Polantera,"5502,00","393,00",,,,
3301,08/11/2021,Basilio Baltasar Barriada Alvarez,1,Alcalde Del Ayuntamiento De San Emiliano,PSOE,Ayuntamiento De San Emiliano,"1360,00","97,14",,,,
3302,08/11/2021,Maria Consuelo Prieto Carracedo,1,Alcaldesa Del Ayuntamiento De San Esteban De Nogales,PP,Ayuntamiento De San Esteban De Nogales,"6300,00","450,00",,,,
3303,08/11/2021,Juan Carlos Rodriguez Rubio,1,Alcalde Del Ayuntamiento De San Justo De La Vega,PP,Ayuntamiento De San Justo De La Vega,"15.399,96","1.100,00",,,,
3304,08/11/2021,Jose Alberto Garcia Rodriguez,1,Alcalde Del Ayuntamiento De San Millán De Los Caballeros,PP,Ayuntamiento De San Millán De Los Caballeros,"900,00","64,29",,,,
3305,08/11/2021,Jose Antonio Rodriguez Fernandez,1,Alcalde Del Ayuntamiento De San Pedro Bercianos,PP,Ayuntamiento De San Pedro Bercianos,"3100,32","221,45",,,,
3306,08/11/2021,Marcos Alvarez Gonzalez,1,Alcalde Del Ayuntamiento De Sancedo,PSOE,Ayuntamiento De Sancedo,"660,00","47,14",,,,
3307,08/11/2021,Basilio Martinez Gonzalez,1,Alcalde Del Ayuntamiento De Santa Colomba De Curueño,PP,Ayuntamiento De Santa Colomba De Curueño,"800,00","57,14",,,,
3308,08/11/2021,Jose Miguel Nieto Garcia,1,Alcalde Del Ayuntamiento De Santa Colomba De Somoza,PP,Ayuntamiento De Santa Colomba De Somoza,"22.822,68","1.630,19",,,,
3309,08/11/2021,Ceferino Revilla Gonzalez,1,Alcalde Del Ayuntamiento De Santa Cristina De Valmadrigal,PSOE,Ayuntamiento De Santa Cristina De Valmadrigal,"1130,00","80,71",,,,
3310,08/11/2021,Carolina Castro Murciego,1,Alcaldesa,PSOE,Ayuntamiento De Santa Elena De Jamuz,"3720,08","265,72",,,,
3311,08/11/2021,Camilo Dominguez Trigas,1,Alcalde Del Ayuntamiento De Santa María De La Isla,U.P.L.,Ayuntamiento De Santa María De La Isla,"2750,00","196,43",,,,
3312,08/11/2021,Luis Jose Garcia Fernanddez,1,Alcalde Del Ayuntamiento De Santa María De Ordás,PSOE,Ayuntamiento De Santa María De Ordás,"200,00","14,29",,,,
3313,08/11/2021,Mariano Gonzalez Pacho,1,Alcalde Del Ayuntamiento De Santa María Del Monte De Cea,PP,Ayuntamiento De Santa María Del Monte De Cea,"576,00","41,14",,,,
3314,08/11/2021,Alicia Gallego Gonzalez,1,Alcaldesa Del Ayuntamiento De Santa María Del Páramo,U.P.L.,Ayuntamiento De Santa María Del Páramo,"25.986,18","1.856,16",,,,
3315,08/11/2021,Francisco Javier Alvarez Alvarez,1,Alcalde Del Ayuntamiento De Santa Marina Del Rey,PSOE,Ayuntamiento De Santa Marina Del Rey,"16.065,00","1.147,50",,,,
3316,08/11/2021,Maria Aranzazu Lozano Morala,1,Alcaldesa Del Ayuntamiento De Santas Martas,PP,Ayuntamiento De Santas Martas,"9815,02","701,07",,,,
3317,08/11/2021,Gumersindo Castro Otero,1,Alcalde Del Ayuntamiento De Santiago Millas,PP,Ayuntamiento De Santiago Millas,"547,50","39,11",,,,
3318,08/11/2021,Roberto Aller Llanos,1,Alcalde Del Ayuntamiento De Sariegos,U.P.L.,Ayuntamiento De Sariegos,"10.820,00","772,86",,,,
3319,08/11/2021,Jose Celestino Garcia Suarez,1,Alcalde Del Ayuntamiento De Sena De Luna,PP,Ayuntamiento De Sena De Luna,"1600,00","114,29",,,,
3320,08/11/2021,Antonio Moldes Rodriguez,1,Alcalde Del Ayuntamiento De Sobrado,PSOE,Ayuntamiento De Sobrado,"880,00","62,86",,,,
3321,08/11/2021,Maximino Perez Martinez,1,Alcalde Del Ayuntamiento De Soto De La Vega,PSOE,Ayuntamiento De Soto De La Vega,"10.500,00","750,00",,,,
3322,08/11/2021,Ana Maria Arias Gonzalez,1,Alcaldesa Del Ayuntamiento De Soto Y Amío,PSOE,Ayuntamiento De Soto Y Amío,"1581,00","112,93",,,,
3323,08/11/2021,Miguel Angel Fernandez Martinez,1,Alcalde Del Ayuntamiento De Toral De Los Guzmanes,PP,Ayuntamiento De Toral De Los Guzmanes,"300,00","21,43",,,,
3324,08/11/2021,Pedro Fernandez Fernandez,1,Alcalde Del Ayuntamiento De Toral De Los Vados,PSOE,Ayuntamiento De Toral De Los Vados,"34.200,00","2.442,86",,,,
3325,08/11/2021,Laureano Gonzalez Alvarez,1,Alcalde Del Ayuntamiento De Toreno,PSOE,Ayuntamiento De Toreno,"750,00","53,57",,,,
3326,08/11/2021,Gabriel Folgado Alvarez,1,Alcalde Del Ayuntamiento De Torre Del Bierzo,C.Bierzo,Ayuntamiento De Torre Del Bierzo,"29.031,06","2.073,65",,,,
3327,08/11/2021,Ricardo Fernandez Garcia,1,Alcalde Del Ayuntamiento De Trabadelo,PSOE,Ayuntamiento De Trabadelo,"19.920,64","1.422,90",,,,
3328,08/11/2021,Francisco Simon Callejo,1,Alcalde Del Ayuntamiento De Truchas,PSOE,Ayuntamiento De Truchas,"5620,58","401,47",,,,
3329,08/11/2021,Jose Luis Casares Garcia,1,Alcalde Del Ayuntamiento De Turcia,PSOE,Ayuntamiento De Turcia,"9050,40","646,46",,,,
3330,08/11/2021,Secundino Cordero De La Fuente,1,Alcalde Del Ayuntamiento De Val De San Lorenzo,PP,Ayuntamiento De Val De San Lorenzo,"5875,87","419,71",,,,
3331,08/11/2021,Eligio Geijo Palacio,0,Alcalde Del Ayuntamiento De Val De San Lorenzo,U.P.L.,Ayuntamiento De Val De San Lorenzo,"0,00",,,,,
3332,08/11/2021,Carlos Carmelo Gutierrez Gutierrez,1,Alcalde Del Ayuntamiento De Valdefresno,PP,Ayuntamiento De Valdefresno,"14.353,04","1.025,22",,,,
3333,08/11/2021,Maximo Alonso Muñoz,1,Alcalde Del Ayuntamiento De Valdefuentes Del Páramo,PP,Ayuntamiento De Valdefuentes Del Páramo,"2400,00","171,43",,,,
3334,08/11/2021,Emilio Orejas Orejas,1,Alcalde Del Ayuntamiento De Valdelugueros,PP,Ayuntamiento De Valdelugueros,"23.873,78","1.705,27",,,,
